epoch,gen_loss,disc_loss,time_consumed
165,7.1417875290,0.0029711693,16.95
166,9.1048307419,0.0003333831,16.58
167,11.4120473862,0.0590627715,16.78
168,11.3873090744,0.0504427738,16.46
169,8.2810783386,0.0005655590,17.23
170,8.5717878342,0.0004066798,16.47
171,8.7186908722,0.0003606361,16.54
172,9.2774066925,0.0006709194,17.17
173,12.6245727539,0.0000473439,16.92
174,15.3303403854,0.0000019699,16.63
175,15.5740070343,0.0000012889,16.47
176,15.8983039856,0.0000011062,18.40
177,16.1975860596,0.0000008218,17.16
178,15.8880424500,0.0000012038,17.15
179,12.2862071991,0.0097422181,16.84
180,10.9295768738,0.0000341830,17.77
181,12.9072675705,0.0000095765,17.81
182,15.3121633530,0.0000558074,17.43
183,14.9504699707,0.0000086543,16.91
184,14.5260782242,0.0000035170,17.72
185,12.6094903946,0.0000230673,17.14
186,12.6936140060,0.0000073183,16.95
187,13.3197603226,0.0000034523,16.95
188,14.0386610031,0.0000020658,16.66
189,14.4412631989,0.0000013496,16.81
190,14.3898525238,0.0000033430,17.20
191,15.0368490219,0.0000010934,16.88
192,14.7420501709,0.0000011121,16.45
193,14.5818357468,0.0000018076,16.54
194,14.6956930161,0.0010500210,16.67
195,21.3056640625,0.0001649872,17.46
196,13.7786712646,0.0000015580,17.12
197,14.0214328766,0.0000011878,17.56
198,14.0803422928,0.0000009812,17.25
199,14.5830516815,0.0000252522,17.38
